"","C0","C1","C2","C3","C4","C5","C6","C7"
"214","Sutton",3,2,1,1,1,1,"*"
"215","Swisher",6,3,2,2,1,1,"*"
"216","Tarrant",20,10,5,4,3,2,"*"
"217","Taylor",18,9,5,4,3,2,"*"
"218","Terrell",1,1,1,1,1,1,"*"
"219","Terry",8,4,2,2,2,1,"*"
"220","Throckmorton",2,1,1,1,1,1,"*"
"221","Titus",13,7,4,3,2,2,"*"
"222","Tom Green",17,9,5,4,3,2,"*"
"223","Travis",20,10,5,4,3,2,"*"
"224","Trinity",9,5,3,2,2,1,"*"
"225","Tyler",10,6,3,3,2,2,"*"
"226","Upshur",14,7,4,3,3,2,"*"
"227","Upton",3,2,1,1,1,1,"*"
"228","Uvalde",12,7,4,3,2,2,"*"
"229","Val Verde",14,8,4,3,3,2,"*"
"230","Van Zandt",16,8,4,4,3,2,"*"
"231","Victoria",17,9,5,4,3,2,"*"
"232","Walker",16,8,4,4,3,2,"*"
"233","Waller",16,8,4,4,3,2,"*"
"234","Ward",8,4,2,2,2,1,"*"
"235","Washington",14,7,4,3,2,2,"*"
"236","Webb",19,10,5,4,3,2,"*"
"237","Wharton",14,7,4,3,3,2,"*"
"238","Wheeler",5,3,2,1,1,1,"*"
"239","Wichita",18,9,5,4,3,2,"*"
"240","Wilbarger",9,5,3,2,2,1,"*"
"241","Willacy",10,5,3,2,2,1,"*"
"242","Williamson",20,10,5,4,3,2,"*"
"243","Wilson",15,8,4,3,3,2,"*"
"244","Winkler",6,3,2,2,1,1,"*"
"245","Wise",16,9,5,4,3,2,"*"
"246","Wood",14,8,4,3,3,2,"*"
"247","Yoakum",6,3,2,2,1,1,"*"
"248","Young",10,5,3,2,2,1,"*"
"249","Zapata",9,5,3,2,2,1,"*"
"250","Zavala",7,4,2,2,2,1,"*"
